stname,year,deaths,population,division,region,stabbr,poverty_rate,unemployment_rate
Hawaii,2015,169,1426320,Pacific,West,HI,10.9,3.6
Idaho,2015,218,1649324,Mountain,West,ID,12.3,4.2
Illinois,2015,1835,12862051,East North Central,Midwest,IL,10.9,5.9
Indiana,2015,1245,6610596,East North Central,Midwest,IN,13.5,4.8
Iowa,2015,309,3118473,West North Central,Midwest,IA,10.4,3.8
Kansas,2015,329,2905789,West North Central,Midwest,KS,14.2,4.2
Kentucky,2015,1273,4422057,East South Central,South,KY,19.5,5.3
Louisiana,2015,861,4671211,West South Central,South,LA,18.6,6.3
Maine,2015,269,1327787,New England,Northeast,ME,12.3,4.4
Maryland,2015,1285,6000561,South Atlantic,South,MD,9.6,5.1
Massachusetts,2015,1724,6794002,New England,Northeast,MA,11.5,4.9
Michigan,2015,1980,9918170,East North Central,Midwest,MI,12.8,5.4
Minnesota,2015,581,5483238,West North Central,Midwest,MN,7.8,3.7
Mississippi,2015,351,2985297,East South Central,South,MS,19.1,6.4
Missouri,2015,1066,6072640,West North Central,Midwest,MO,9.8,5
Montana,2015,138,1028317,Mountain,West,MT,11.9,4.2
Nebraska,2015,126,1893564,West North Central,Midwest,NE,10.3,3
Nevada,2015,619,2883057,Mountain,West,NV,13,6.8
New Hampshire,2015,422,1330134,New England,Northeast,NH,7.3,3.4
New Jersey,2015,1454,8960001,Middle Atlantic,Northeast,NJ,11.2,5.8
New Mexico,2015,501,2082264,Mountain,West,NM,19.7,6.6
New York,2015,2754,19819347,Middle Atlantic,Northeast,NY,14.2,5.3
North Carolina,2015,1567,10041769,South Atlantic,South,NC,15.3,5.8
North Dakota,2015,61,754859,West North Central,Midwest,ND,10.7,2.8
Ohio,2015,3310,11606027,East North Central,Midwest,OH,13.6,4.9
Oklahoma,2015,725,3904353,West South Central,South,OK,14.2,4.4
Oregon,2015,505,4016537,Pacific,West,OR,11.9,5.6
Pennsylvania,2015,3264,12791124,Middle Atlantic,Northeast,PA,12.3,5.3
Rhode Island,2015,310,1055916,New England,Northeast,RI,11.8,6
South Carolina,2015,761,4892423,South Atlantic,South,SC,14.3,6
South Dakota,2015,65,854036,West North Central,Midwest,SD,13.9,3.1
Tennessee,2015,1457,6590726,East South Central,South,TN,14.7,5.6
Texas,2015,2588,27454880,West South Central,South,TX,14.7,4.5
Utah,2015,646,2984917,Mountain,West,UT,9.3,3.6
Vermont,2015,99,624455,New England,Northeast,VT,10.7,3.6
Virginia,2015,1039,8366767,South Atlantic,South,VA,10.9,4.5
Washington,2015,1094,7152818,Pacific,West,WA,11.4,5.6
West Virginia,2015,725,1839767,South Atlantic,South,WV,14.5,6.8
Wisconsin,2015,878,5759744,East North Central,Midwest,WI,11.4,4.6
Wyoming,2015,96,586102,Mountain,West,WY,9.8,4.2
Alabama,2016,756,4860545,East South Central,South,AL,16.2,6
Alaska,2016,128,741522,Pacific,West,AK,12.6,6.6
Arizona,2016,1382,6908642,Mountain,West,AZ,16.1,5.3
Arkansas,2016,401,2988231,West South Central,South,AR,16,4
California,2016,4654,39296476,Pacific,West,CA,13.9,5.4
Colorado,2016,942,5530105,Mountain,West,CO,8.5,3.3
Connecticut,2016,971,3587685,New England,Northeast,CT,9.8,5.1
Delaware,2016,282,952698,South Atlantic,South,DE,11.6,4.4
District of Columbia,2016,269,684336,South Atlantic,South,DC,16.3,6
Florida,2016,4728,20656589,South Atlantic,South,FL,13,4.9
Georgia,2016,1394,10313620,South Atlantic,South,GA,15.4,5.4
Hawaii,2016,191,1428683,Pacific,West,HI,9.3,3
Idaho,2016,243,1680026,Mountain,West,ID,11.1,3.8
Illinois,2016,2411,12835726,East North Central,Midwest,IL,12.1,5.9
Indiana,2016,1526,6634007,East North Central,Midwest,IN,11.8,4.4
Iowa,2016,314,3130869,West North Central,Midwest,IA,9.8,3.7
Kansas,2016,313,2907731,West North Central,Midwest,KS,11.2,4.2
Kentucky,2016,1419,4436113,East South Central,South,KY,15.2,5
Louisiana,2016,996,4686157,West South Central,South,LA,20.2,6.1
Maine,2016,353,1330232,New England,Northeast,ME,12.7,3.9
Maryland,2016,2044,6024752,South Atlantic,South,MD,7.1,4.3
Massachusetts,2016,2227,6823721,New England,Northeast,MA,9.6,3.7
Michigan,2016,2347,9933445,East North Central,Midwest,MI,11.1,4.9
Minnesota,2016,672,5525050,West North Central,Midwest,MN,8.7,3.9
Mississippi,2016,352,2985415,East South Central,South,MS,21.1,5.8
Missouri,2016,1371,6091176,West North Central,Midwest,MO,13,4.5
Montana,2016,119,1038656,Mountain,West,MT,11.7,4.1
Nebraska,2016,120,1907603,West North Central,Midwest,NE,9.6,3.2
Nevada,2016,665,2939254,Mountain,West,NV,10.1,5.7
New Hampshire,2016,481,1335015,New England,Northeast,NH,6.4,2.8
New Jersey,2016,2056,8978416,Middle Atlantic,Northeast,NJ,9.4,5
New Mexico,2016,500,2085432,Mountain,West,NM,17.8,6.7
New York,2016,3638,19836286,Middle Atlantic,Northeast,NY,11.9,4.8
North Carolina,2016,1956,10156689,South Atlantic,South,NC,13.6,5.1
North Dakota,2016,77,755548,West North Central,Midwest,ND,11.1,3.2
Ohio,2016,4329,11622554,East North Central,Midwest,OH,13.7,4.9
Oklahoma,2016,813,3921207,West South Central,South,OK,14.6,4.9
Oregon,2016,506,4085989,Pacific,West,OR,11.8,4.9
Pennsylvania,2016,4627,12787085,Middle Atlantic,Northeast,PA,11.1,5.4
Rhode Island,2016,326,1057566,New England,Northeast,RI,11.4,5.3
South Carolina,2016,879,4959822,South Atlantic,South,SC,14.1,4.8
South Dakota,2016,69,861542,West North Central,Midwest,SD,14.5,2.8
Tennessee,2016,1630,6649404,East South Central,South,TN,14.9,4.8
Texas,2016,2831,27904862,West South Central,South,TX,13.8,4.6
Utah,2016,635,3044321,Mountain,West,UT,8.6,3.4
Vermont,2016,125,623354,New England,Northeast,VT,9.6,3.3
Virginia,2016,1405,8414380,South Atlantic,South,VA,11.4,4
Washington,2016,1102,7280934,Pacific,West,WA,11,5.4
West Virginia,2016,884,1828637,South Atlantic,South,WV,18,6
Wisconsin,2016,1074,5772917,East North Central,Midwest,WI,10.7,4.1
Wyoming,2016,99,584910,Mountain,West,WY,10.9,5.3
Alabama,2017,835,4874747,East South Central,South,AL,15,4.4
Alaska,2017,147,739795,Pacific,West,AK,14.4,7.2
Arizona,2017,1532,7016270,Mountain,West,AZ,13.2,4.9
Arkansas,2017,446,3004279,West South Central,South,AR,14.8,3.7
California,2017,4868,39536653,Pacific,West,CA,12.4,4.8
Colorado,2017,1015,5607154,Mountain,West,CO,7.7,2.8
Connecticut,2017,1072,3588184,New England,Northeast,CT,10.9,4.7
Delaware,2017,338,961939,South Atlantic,South,DE,9.2,4.6
District of Columbia,2017,310,693972,South Atlantic,South,DC,13.6,6.1
Florida,2017,5088,20984400,South Atlantic,South,FL,13.7,4.2
Georgia,2017,1537,10429379,South Atlantic,South,GA,13.3,4.7
Hawaii,2017,203,1427538,Pacific,West,HI,10.3,2.4
Idaho,2017,236,1716943,Mountain,West,ID,11.7,3.2
Illinois,2017,2778,12802023,East North Central,Midwest,IL,10.9,5
Indiana,2017,1852,6666818,East North Central,Midwest,IN,11.4,3.5
Iowa,2017,341,3145711,West North Central,Midwest,IA,9.1,3.1
Kansas,2017,333,2913123,West North Central,Midwest,KS,14.7,3.6
Kentucky,2017,1566,4454189,East South Central,South,KY,14.4,4.9
Louisiana,2017,1108,4684333,West South Central,South,LA,21.4,5.1
Maine,2017,424,1335907,New England,Northeast,ME,12,3.3
Maryland,2017,2247,6052177,South Atlantic,South,MD,7.8,4.1
Massachusetts,2017,2168,6859819,New England,Northeast,MA,10.6,3.7
Michigan,2017,2694,9962311,East North Central,Midwest,MI,12.7,4.6
Minnesota,2017,733,5576606,West North Central,Midwest,MN,9.2,3.5
Mississippi,2017,354,2984100,East South Central,South,MS,18.3,5.1
Missouri,2017,1367,6113532,West North Central,Midwest,MO,11.1,3.8
Montana,2017,119,1050493,Mountain,West,MT,9.7,4
Nebraska,2017,152,1920076,West North Central,Midwest,NE,10.4,2.9
Nevada,2017,676,2998039,Mountain,West,NV,13.7,5
New Hampshire,2017,467,1342795,New England,Northeast,NH,6.6,2.7
New Jersey,2017,2685,9005644,Middle Atlantic,Northeast,NJ,8.6,4.6
New Mexico,2017,493,2088070,Mountain,West,NM,18.6,6.2
New York,2017,3921,19849399,Middle Atlantic,Northeast,NY,13.4,4.7
North Carolina,2017,2414,10273419,South Atlantic,South,NC,14.5,4.6
North Dakota,2017,68,755393,West North Central,Midwest,ND,11.3,2.6
Ohio,2017,5111,11658609,East North Central,Midwest,OH,12.7,5
Oklahoma,2017,775,3930864,West South Central,South,OK,12.6,4.3
Oregon,2017,530,4142776,Pacific,West,OR,10.2,4.1
Pennsylvania,2017,5388,12805537,Middle Atlantic,Northeast,PA,11.2,4.9
Rhode Island,2017,320,1059639,New England,Northeast,RI,12.2,4.5
South Carolina,2017,1008,5024369,South Atlantic,South,SC,15.6,4.3
South Dakota,2017,73,869666,West North Central,Midwest,SD,10.4,3.3
Tennessee,2017,1776,6715984,East South Central,South,TN,11.5,3.7
Texas,2017,2989,28304596,West South Central,South,TX,13.4,4.3
Utah,2017,650,3101833,Mountain,West,UT,8.6,3.2
Vermont,2017,134,623657,New England,Northeast,VT,10.2,3
Virginia,2017,1507,8470020,South Atlantic,South,VA,10.3,3.8
Washington,2017,1169,7405743,Pacific,West,WA,9.9,4.8
West Virginia,2017,974,1815857,South Atlantic,South,WV,17.3,5.2
Wisconsin,2017,1177,5795483,East North Central,Midwest,WI,9.5,3.3
Wyoming,2017,69,579315,Mountain,West,WY,12.4,4.2
