stname,year,deaths,population,division,region,stabbr,poverty_rate,unemployment_rate
California,2002,2975,34871843,Pacific,West,CA,13.1,6.7
Colorado,2002,448,4490406,Mountain,West,CO,9.8,5.5
Connecticut,2002,354,3458749,New England,Northeast,CT,8.3,4.3
Delaware,2002,84,806169,South Atlantic,South,DE,9.1,4
District of Columbia,2002,61,573158,South Atlantic,South,DC,17,6.4
Florida,2002,1927,16689370,South Atlantic,South,FL,12.6,5.6
Georgia,2002,563,8508256,South Atlantic,South,GA,11.2,5
Hawaii,2002,77,1239613,Pacific,West,HI,11.3,4.2
Idaho,2002,117,1340372,Mountain,West,ID,11.3,5.6
Illinois,2002,986,12525556,East North Central,Midwest,IL,12.8,6.5
Indiana,2002,293,6155967,East North Central,Midwest,IN,9.1,5.2
Iowa,2002,91,2934234,West North Central,Midwest,IA,9.2,4
Kansas,2002,170,2713535,West North Central,Midwest,KS,10.1,5.1
Kentucky,2002,426,4089875,East South Central,South,KY,14.2,5.7
Louisiana,2002,365,4497267,West South Central,South,LA,17.5,6.1
Maine,2002,139,1295960,New England,Northeast,ME,13.4,4.3
Maryland,2002,723,5440389,South Atlantic,South,MD,7.4,4.4
Massachusetts,2002,705,6417206,New England,Northeast,MA,10,5.3
Michigan,2002,751,10015710,East North Central,Midwest,MI,11.6,6.3
Minnesota,2002,201,5018935,West North Central,Midwest,MN,6.5,4.5
Mississippi,2002,183,2858681,East South Central,South,MS,18.4,6.6
Missouri,2002,416,5674825,West North Central,Midwest,MO,9.9,5.4
Montana,2002,78,911667,Mountain,West,MT,13.5,4.4
Nebraska,2002,66,1728292,West North Central,Midwest,NE,10.6,3.6
Nevada,2002,323,2173791,Mountain,West,NV,8.9,5.6
New Hampshire,2002,111,1269089,New England,Northeast,NH,5.8,4.5
New Jersey,2002,813,8552643,Middle Atlantic,Northeast,NJ,7.9,5.8
New Mexico,2002,287,1855309,Mountain,West,NM,17.9,5.5
New York,2002,923,19137800,Middle Atlantic,Northeast,NY,14,6.1
North Carolina,2002,647,8326201,South Atlantic,South,NC,14.3,6.6
North Dakota,2002,17,638168,West North Central,Midwest,ND,11.6,3.7
Ohio,2002,931,11407889,East North Central,Midwest,OH,9.8,5.7
Oklahoma,2002,240,3489080,West South Central,South,OK,14.1,4.7
Oregon,2002,318,3513424,Pacific,West,OR,10.9,7.5
Pennsylvania,2002,1097,12331031,Middle Atlantic,Northeast,PA,9.5,5.6
Rhode Island,2002,99,1065995,New England,Northeast,RI,11,5
South Carolina,2002,217,4107795,South Atlantic,South,SC,14.3,5.8
South Dakota,2002,22,760020,West North Central,Midwest,SD,11.5,3.2
Tennessee,2002,491,5795918,East South Central,South,TN,14.8,5.2
Texas,2002,1598,21690325,West South Central,South,TX,15.6,6.4
Utah,2002,288,2324815,Mountain,West,UT,9.9,5.8
Vermont,2002,47,615442,New England,Northeast,VT,9.9,4
Virginia,2002,509,7286873,South Atlantic,South,VA,9.9,4.2
Washington,2002,643,6052349,Pacific,West,WA,11,7.4
West Virginia,2002,229,1805414,South Atlantic,South,WV,16.8,5.9
Wisconsin,2002,340,5445162,East North Central,Midwest,WI,8.6,5.4
Wyoming,2002,34,500017,Mountain,West,WY,9,4
Alabama,2003,197,4503491,East South Central,South,AL,15,6
Alaska,2003,83,648414,Pacific,West,AK,9.6,7.8
Arizona,2003,674,5510364,Mountain,West,AZ,13.5,5.7
Arkansas,2003,184,2724816,West South Central,South,AR,17.8,5.9
California,2003,3108,35253159,Pacific,West,CA,13.1,6.8
Colorado,2003,502,4528732,Mountain,West,CO,9.7,6
Connecticut,2003,307,3484336,New England,Northeast,CT,8.1,5.4
Delaware,2003,77,818003,South Atlantic,South,DE,7.3,4.3
District of Columbia,2003,103,568502,South Atlantic,South,DC,16.8,6.8
Florida,2003,2054,17004085,South Atlantic,South,FL,12.7,5.2
Georgia,2003,607,8622793,South Atlantic,South,GA,11.9,4.8
Hawaii,2003,92,1251154,Pacific,West,HI,9.3,4.1
Idaho,2003,102,1363380,Mountain,West,ID,10.2,5.6
Illinois,2003,847,12556006,East North Central,Midwest,IL,12.6,6.8
Indiana,2003,434,6196638,East North Central,Midwest,IN,9.9,5.3
Iowa,2003,96,2941999,West North Central,Midwest,IA,8.9,4.5
Kansas,2003,188,2723004,West North Central,Midwest,KS,10.8,5.5
Kentucky,2003,560,4117170,East South Central,South,KY,14.4,6.1
Louisiana,2003,536,4521042,West South Central,South,LA,17,6.4
Maine,2003,133,1306513,New England,Northeast,ME,11.6,5
Maryland,2003,779,5496269,South Atlantic,South,MD,8.6,4.4
Massachusetts,2003,823,6422565,New England,Northeast,MA,10.3,5.7
Michigan,2003,761,10041152,East North Central,Midwest,MI,11.4,7.2
Minnesota,2003,246,5053572,West North Central,Midwest,MN,7.4,4.9
Mississippi,2003,207,2868312,East South Central,South,MS,16,6.3
Missouri,2003,522,5709403,West North Central,Midwest,MO,10.7,5.6
Montana,2003,93,919630,Mountain,West,MT,15.1,4.7
Nebraska,2003,55,1738643,West North Central,Midwest,NE,9.8,3.9
Nevada,2003,342,2248850,Mountain,West,NV,10.9,5.1
New Hampshire,2003,127,1279840,New England,Northeast,NH,5.8,4.3
New Jersey,2003,721,8601402,Middle Atlantic,Northeast,NJ,8.6,5.8
New Mexico,2003,358,1877574,Mountain,West,NM,18.1,5.9
New York,2003,964,19175939,Middle Atlantic,Northeast,NY,14.3,6.4
North Carolina,2003,762,8422501,South Atlantic,South,NC,15.7,6.4
North Dakota,2003,22,638817,West North Central,Midwest,ND,9.7,3.7
Ohio,2003,775,11434788,East North Central,Midwest,OH,10.9,6.2
Oklahoma,2003,400,3504892,West South Central,South,OK,12.8,5.5
Oregon,2003,355,3547376,Pacific,West,OR,12.5,8.1
Pennsylvania,2003,1381,12374658,Middle Atlantic,Northeast,PA,10.5,5.7
Rhode Island,2003,146,1071342,New England,Northeast,RI,11.5,5.3
South Carolina,2003,287,4150297,South Atlantic,South,SC,12.7,6.9
South Dakota,2003,24,763729,West North Central,Midwest,SD,12.7,3.5
Tennessee,2003,662,5847812,East South Central,South,TN,14,5.6
Texas,2003,1753,22030931,West South Central,South,TX,17,6.7
Utah,2003,353,2360137,Mountain,West,UT,9.1,5.6
Vermont,2003,65,617858,New England,Northeast,VT,8.5,4.3
Virginia,2003,547,7366977,South Atlantic,South,VA,10,4.1
Washington,2003,696,6104115,Pacific,West,WA,12.6,7.4
West Virginia,2003,262,1812295,South Atlantic,South,WV,17.4,6
Wisconsin,2003,383,5479203,East North Central,Midwest,WI,9.8,5.7
Wyoming,2003,30,503453,Mountain,West,WY,9.8,4.3
Alabama,2004,283,4530729,East South Central,South,AL,16.9,5.7
Alaska,2004,86,659286,Pacific,West,AK,9.2,7.5
Arizona,2004,744,5652404,Mountain,West,AZ,14.4,5
Arkansas,2004,230,2749686,West South Central,South,AR,15.1,5.7
California,2004,3125,35574576,Pacific,West,CA,13.3,6.2
Colorado,2004,518,4575013,Mountain,West,CO,10,5.5
Connecticut,2004,333,3496094,New England,Northeast,CT,10,5
Delaware,2004,63,830803,South Atlantic,South,DE,9.1,4
District of Columbia,2004,87,567754,South Atlantic,South,DC,16.7,7.8
Florida,2004,2264,17415318,South Atlantic,South,FL,11.6,4.6
Georgia,2004,666,8769252,South Atlantic,South,GA,13.1,4.8
Hawaii,2004,103,1273569,Pacific,West,HI,8.4,3.4
Idaho,2004,98,1391802,Mountain,West,ID,9.9,4.9
Illinois,2004,1035,12589773,East North Central,Midwest,IL,12.2,6.2
Indiana,2004,542,6233007,East North Central,Midwest,IN,11.6,5.4
Iowa,2004,122,2953635,West North Central,Midwest,IA,10.8,4.5
Kansas,2004,224,2734373,West North Central,Midwest,KS,11.4,5.5
Kentucky,2004,526,4146101,East South Central,South,KY,17.7,5.4
Louisiana,2004,539,4552238,West South Central,South,LA,16.7,5.9
Maine,2004,140,1313688,New England,Northeast,ME,11.6,4.6
Maryland,2004,676,5546935,South Atlantic,South,MD,9.8,4.3
Massachusetts,2004,669,6412281,New England,Northeast,MA,9.2,5.1
Michigan,2004,867,10055315,East North Central,Midwest,MI,13.3,7
Minnesota,2004,250,5087713,West North Central,Midwest,MN,7,4.7
Mississippi,2004,224,2889010,East South Central,South,MS,18.6,6.2
Missouri,2004,548,5747741,West North Central,Midwest,MO,12.2,5.9
Montana,2004,98,930009,Mountain,West,MT,14.1,4.8
Nebraska,2004,59,1749370,West North Central,Midwest,NE,9.4,3.9
Nevada,2004,380,2346222,Mountain,West,NV,10.9,4.3
New Hampshire,2004,124,1290121,New England,Northeast,NH,5.4,3.8
New Jersey,2004,590,8634561,Middle Atlantic,Northeast,NJ,8,4.8
New Mexico,2004,314,1903808,Mountain,West,NM,16.5,5.5
New York,2004,831,19171567,Middle Atlantic,Northeast,NY,15,5.8
North Carolina,2004,854,8553152,South Atlantic,South,NC,14.6,5.5
North Dakota,2004,17,644705,West North Central,Midwest,ND,9.7,3.4
Ohio,2004,1136,11452251,East North Central,Midwest,OH,11.6,6.3
Oklahoma,2004,476,3525233,West South Central,South,OK,10.8,4.9
Oregon,2004,365,3569463,Pacific,West,OR,11.7,7.3
Pennsylvania,2004,1544,12410722,Middle Atlantic,Northeast,PA,11.3,5.4
Rhode Island,2004,106,1074579,New England,Northeast,RI,11.5,5.2
South Carolina,2004,356,4210921,South Atlantic,South,SC,14.9,6.8
South Dakota,2004,43,770396,West North Central,Midwest,SD,13.4,3.7
Tennessee,2004,763,5910809,East South Central,South,TN,15.9,5.3
Texas,2004,1813,22394023,West South Central,South,TX,16.5,5.9
Utah,2004,358,2401580,Mountain,West,UT,9.9,5
Vermont,2004,50,619920,New England,Northeast,VT,7.9,3.7
Virginia,2004,558,7475575,South Atlantic,South,VA,9.3,3.8
Washington,2004,811,6178645,Pacific,West,WA,11.5,6.3
West Virginia,2004,333,1816438,South Atlantic,South,WV,14.2,5.3
Wisconsin,2004,437,5514026,East North Central,Midwest,WI,12.3,5
Wyoming,2004,46,509106,Mountain,West,WY,9.9,3.8
Alabama,2005,283,4569805,East South Central,South,AL,16.7,4.5
Alaska,2005,79,666946,Pacific,West,AK,10,6.9
Arizona,2005,794,5839077,Mountain,West,AZ,15.2,4.7
Arkansas,2005,269,2781097,West South Central,South,AR,13.8,5.2
California,2005,3214,35827943,Pacific,West,CA,13.2,5.4
Colorado,2005,608,4631888,Mountain,West,CO,11.4,5
Connecticut,2005,295,3506956,New England,Northeast,CT,9.3,4.9
Delaware,2005,62,845150,South Atlantic,South,DE,9.2,4.1
District of Columbia,2005,77,567136,South Atlantic,South,DC,21.3,6.4
Florida,2005,2371,17842038,South Atlantic,South,FL,11.1,3.7
Georgia,2005,738,8925922,South Atlantic,South,GA,14.4,5.3
Hawaii,2005,126,1292729,Pacific,West,HI,8.6,2.9
Idaho,2005,109,1428241,Mountain,West,ID,9.9,4
Illinois,2005,1067,12609903,East North Central,Midwest,IL,11.5,5.7
Indiana,2005,610,6278616,East North Central,Midwest,IN,12.6,5.5
Iowa,2005,141,2964454,West North Central,Midwest,IA,11.3,4.3
Kansas,2005,241,2745299,West North Central,Midwest,KS,12.5,5
Kentucky,2005,638,4182742,East South Central,South,KY,14.8,5.9
Louisiana,2005,661,4576628,West South Central,South,LA,18.3,7.2
